ratedate,closingrate,highestrate,lowestrate,weightedAvgRate,simpleAvgRate,noOfDeals,noOfDeals_InterBank,nfeM_Total_Turnover,interBank_Total_Turnover
3/27/2026,1384.25,1384.5,1377,1380.5766,1381.0235,0,141,0,172892372.9
3/26/2026,1389,1391,1375,1383.883,1385.5284,318,107,375654114.3,91529942.56
3/25/2026,1391,1391.5,1376,1386.7049,1387.2227,231,64,325962381.4,55697548.75
3/24/2026,1383.5,1389,1372,1382.6325,1381.8642,293,88,480096825.8,83438436.14
3/23/2026,1383,1399,1380,1388.3841,1387.7055,404,144,984139865.8,188126108.2
3/18/2026,1362,1362,1349,1353.9018,1355.0659,255,86,242706206.9,72440479.8
3/17/2026,1345,1355,1340,1344.4158,1344.5358,342,136,370979488.6,104480615.9
3/16/2026,1355,1365.35,1354,1357.7697,1358.715,272,88,346275565.9,85753860.53
3/13/2026,1363.5,1374,1362,1366.233,1366.4089,374,146,1127761837,179911783.8
3/12/2026,1370,1390,1362,1371.5063,1372.6543,354,142,700435273.1,159698548.3
3/11/2026,1373.5,1388,1373,1376.1925,1377.0949,388,138,998686105.1,154187115.9
3/10/2026,1390.5,1415.5,1381,1401.4014,1400.1341,428,174,1140186429,207731897.2
3/9/2026,1425,1425,1402.3,1405.6238,1411.3353,0,0,0,0
3/6/2026,1398,1404,1398,1393.2556,1394.5528,0,0,0,0
3/5/2026,1388,1392,1385.5,1387.4475,1387.8597,0,0,0,0
3/4/2026,1382.65,1400,1382.5,1387.0955,1388.135,0,0,0,0
3/3/2026,1390,1405,1370,1384.292,1386.9084,0,0,0,0
3/2/2026,1376,1397,1368.5,1378.0246,1378.4822,0,0,0,0
2/27/2026,1368.5,1369,1345,1363.3954,1364.7455,0,0,0,0
2/26/2026,1361.5,1362.9,1356.5,1359.8181,1359.8007,0,0,0,0
2/25/2026,1359.5,1361.5,1353,1356.1141,1356.9775,0,0,0,0
2/24/2026,1359,1362,1351.5,1355.3745,1356.4223,0,0,0,0
2/23/2026,1353.5,1354.5,1343,1349.2352,1349.2371,0,0,0,0
2/20/2026,1348,1349.25,1343,1346.3234,1346.0829,0,0,0,0
2/19/2026,1346,1350,1332.25,1341.3509,1339.5458,0,0,0,0
2/18/2026,1340,1340,1328,1338.1066,1337.1657,0,0,0,0
2/17/2026,1337,1344,1318,1335.958,1334.6334,0,0,0,0
2/16/2026,1344,1353,1342.5,1347.7789,1348.1149,0,0,0,0
2/13/2026,1358,1358,1353,1355.4181,1355.4474,0,0,0,0
2/12/2026,1355,1357,1350,1353.6556,1354.0747,0,0,0,0
2/11/2026,1350,1351.5,1345,1348.9529,1348.8069,0,0,0,0
2/10/2026,1349.5,1354,1349.3,1351.0205,1351.0554,0,0,0,0
2/9/2026,1354.9,1360,1352.5,1354.2574,1354.5854,0,0,0,0
2/6/2026,1363,1373,1361,1366.1954,1366.7828,0,0,0,0
2/5/2026,1368,1370,1361.8,1366.0573,1366.3652,0,0,0,0
2/4/2026,1359,1365,1348,1358.2839,1357.1987,0,0,0,0
2/3/2026,1367,1387,1360,1372.9142,1372.5186,0,0,0,0
2/2/2026,1384.5,1396,1381,1390.3622,1390.5387,0,0,0,0
1/30/2026,1391,1392,1381,1386.5532,1387.1074,0,0,0,0
1/29/2026,1385,1400,1367,1396.9909,1380.716,0,0,0,0
1/28/2026,1394,1409,1392,1399.9503,1400.7368,0,0,0,0
1/27/2026,1409.5,1415,1400,1401.2209,1408.2815,0,0,0,0
1/26/2026,1416.5,1422.5,1415.1,1418.9522,1418.6025,0,0,0,0
1/23/2026,1421.9,1423.5,1420,1421.6265,1421.7565,0,0,0,0
1/22/2026,1421.5,1423.5,1421,1422.0703,1422.1474,0,0,0,0
1/21/2026,1423,1423,1419,1420.692,1421.057,0,0,0,0
1/20/2026,1420,1421,1418.4,1419.3452,1419.392,0,0,0,0
1/19/2026,1420.5,1421,1419.5,1420.2814,1420.3325,0,0,0,0
1/16/2026,1417.95,1420.5,1416.8,1417.9483,1418.1656,0,0,0,0
1/15/2026,1420,1422,1418,1419.2844,1419.5368,0,0,0,0
1/14/2026,1419.5,1421,1419,1420.0375,1420.2002,0,0,0,0
1/13/2026,1420.25,1424,1418,1419.6585,1419.8775,0,0,0,0
1/12/2026,1425,1426,1419,1421.4581,1421.9705,0,0,0,0
1/9/2026,1424.5,1430,1420.15,1423.1674,1424.272,0,0,0,0
1/8/2026,1421,1422,1418,1419.7151,1419.9258,0,0,0,0
1/7/2026,1421,1423,1415,1418.2606,1418.4442,0,0,0,0
1/6/2026,1416,1426,1414,1419.065,1420.1161,0,0,0,0
1/5/2026,1428,1433,1424,1429.3054,1429.4128,0,0,0,0
1/2/2026,1431,1438.5,1427,1430.8479,1431.1265,0,0,0,0
12/31/2025,1429,1439.5,1427,1435.7571,1436.3106,0,0,0,0
12/30/2025,1445,1447,1443,1445.6828,1445.6766,0,0,0,0
12/29/2025,1446.4,1450,1438.15,1442.5126,1444.355,0,0,0,0
12/24/2025,1451,1455,1435.01,1443.3767,1445.8479,0,0,0,0
12/23/2025,1452,1455.5,1447.5,1449.9869,1450.3049,0,0,0,0
12/22/2025,1456,1466,1431,1456.5637,1457.3517,0,0,0,0
12/19/2025,1466.5,1469.9,1460,1464.4974,1465.5126,0,0,0,0
12/18/2025,1462.9,1462.9,1456.5,1457.8402,1459.3597,0,0,0,0
12/17/2025,1458.02,1460.75,1453.07,1455.4983,1457.8395,0,0,0,0
12/16/2025,1457,1458.99,1452,1455.0817,1455.4802,0,0,0,0
12/15/2025,1454,1455,1450,1451.8169,1452.3837,0,0,0,0
12/12/2025,1455.5,1458.5,1453,1454.4123,1454.5012,0,0,0,0
12/11/2025,1455.25,1459,1453.55,1456.0656,1456.4073,0,0,0,0
12/10/2025,1458,1458,1453.76,1455.3823,1456.1241,0,0,0,0
12/9/2025,1454,1456.5,1450.25,1454.3805,1454.427,0,0,0,0
12/8/2025,1454,1457,1450.25,1451.863,1453.3639,0,0,0,0
12/5/2025,1454,1456,1448.29,1450.4287,1452.3895,0,0,0,0
12/4/2025,1449,1450,1446,1447.8263,1448.6496,0,0,0,0
12/3/2025,1447.5,1450,1443.5,1447.6494,1447.8217,0,0,0,0
12/2/2025,1447,1450.5,1443,1445.3929,1445.3581,0,0,0,0
12/1/2025,1450.01,1452,1445,1448.4355,1448.4043,0,0,0,0
11/28/2025,1446.9,1449.75,1445,1446.7421,1446.9735,63,0,0,0
11/27/2025,1445.9,1446,1442,1443.9028,1444.0199,0,0,0,0
11/26/2025,1442,1445.5,1436.5,1442.9201,1443.203,0,0,0,0
11/25/2025,1441,1455,1441,1446.3156,1446.3205,0,0,0,0
11/24/2025,1452,1462.5,1451,1453.8443,1454.2481,0,0,0,0
11/21/2025,1458,1462,1453.61,1456.7249,1457.3822,0,0,0,0
11/20/2025,1459.95,1459.99,1450,1452.1342,1452.4654,0,0,0,0
11/19/2025,1451,1460.5,1449.96,1454.1849,1455.5981,0,0,0,0
11/18/2025,1458,1459,1440,1447.4297,1449.7528,0,0,0,0
